Claim / Finding,Verification Status,Source File,Evidence / Detail,Metric(s),Confidence,Use in Resume?,Use in Portfolio?,Next Follow-Up
"In the May 2022 pod meeting, Bobby explicitly confirmed Morgan's management accountability in front of the full group ('those are all things that she has the responsibility to manage you all on') and named her demo handoff approach as the team standard.",Verified — primary source audio transcript; manager confirmation in group setting on record,MPP_Pod_Meeting_2022-05-19_09_22_GMT-7.txt (TR-0787),"Bobby states in group: 'Morgan has a responsibility... those are all things that she has the responsibility to manage you all on.' Bobby names Morgan's demo standard: 'that's very Morgan asked, right?' Morgan proposes a cross-functional learning program (shadow tough demos, not just easy ones). Gives direct feedback to VP Bobby on meeting format, chat management, and exit-signal friction. Rep confirms 1:1 schedule change: 'Morgan and I just changed our one-on-one time.' Bobby delegates team data-gathering to Morgan.",N/A — management accountability confirmed publicly in group; 1:1 cadence confirmed by direct report; demo standard named,High,Yes,Yes,"CRITICAL management evidence. Bobby's group confirmation is a public, on-record acknowledgment. Pair with TR-0784 (private Sept 2023 confirmation) for a two-point management arc spanning 16 months in different settings."
"In the August 2022 pod meeting, Morgan taught group sequencing ('we could literally catch three people with 20 emails instead of one'), bulk personalization-at-scale via custom field updates, and live Salesforce Maps filtering with hot zone + Title I layers.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-08-18_12_07_GMT-4.txt (TR-0788),"Three-part technical training: (1) Group sequencing — CC 2-3 contacts into one sequence for multi-threaded outreach that 'looks more human as an email'; (2) Personalization at scale — select all Wake County prospects, bulk-add personal note via custom field; (3) Live Salesforce Maps: private layers, hot zone + Title I filters, conditional marker display. Territory strategy: 'I would always work my hot zones first because they just by far got the best responses.' Tech adoption framing: 'I don't want us to get stuck doing things the old way.'","N/A — group sequencing, bulk personalization, Salesforce Maps all demonstrated live; Wake County bulk selection demonstrated",High,Yes,Yes,Group sequencing and bulk personalization at scale are distinctive original outbound techniques. Pair with TR-0794 (March 2023 meeting with variable personalization and conditional if/else coding) for the full original-technique evidence cluster.
"In the September 2022 pod meeting, Morgan managed team continuity through an organizational restructure, shared her own peak-performance color-coded prospect tracking spreadsheet, and distributed a shared Salesforce pod reports folder to preserve institutional knowledge.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-09-15_12_05_GMT-4.txt (TR-0789),"Meeting during team departure + marketing-back-under-sales restructure. Morgan had already been briefed via pod-leads meeting and arrives prepared to stabilize. Actions: vulnerability coaching on calls, shares own historical color-coded prospect tracking spreadsheet from peak performance years, builds and distributes shared Salesforce pod reports folder, protects team time by removing 1:1s for quiet week. Verbatim: 'A Tree Ring never closes, but you're still allowed to close your computer.'",N/A — change management; shared Salesforce pod reports folder built and distributed; color-coded tracking spreadsheet shared,High,Yes,Yes,"Use for change management, institutional knowledge preservation, and team-care evidence. Sharing personal peak-performance tools and building shared reports during org disruption shows proactive leadership under pressure."
"In the October 2022 pod meeting, Morgan ran full live Salesforce report training (clone, filter, conditional highlight, export), stated her pod advocate role explicitly on record, and coached team on pipeline planning two months before peak season.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-10-20_12_07_GMT-4.txt (TR-0790),"Structured meeting with slides + Slack bookmarks bar Morgan built for her pod (playbook, vendor list, blog links). Full Salesforce report training: clone, filter, conditional highlight, export — live demonstration. Advocacy role stated on record: 'our job as pod leaders is to represent you guys.' Served as marketing liaison after restructure. Pipeline strategy coaching in October: 'It's a little early, but not really, it's never too early.' Multi-threading coaching: 'I can't tell you how many times the principal forwarded them an email from someone else.'",N/A — pod advocate role stated on record; Slack resource bar built; pipeline planning begun 2 months pre-peak,High,Yes,Yes,"Pod advocate role stated on record is strong leadership-responsibility confirmation. Use for people leadership, training, and upward-advocacy claims. Salesforce training delivery adds to CRM expertise picture."
"In the November 2022 pod meeting, Morgan built and deployed a categorized team feedback routing Google Doc, attended a company leadership meeting where marketing strategy was set, and managed the pod's Sendoso gifting budget.",Verified — primary source audio transcript,MPP_Pod_Meeting_2022-11-17_11_49_GMT-5.txt (TR-0791),"Morgan builds a structured Google Doc categorizing team feedback by destination team for systematic routing upward. Bobby weekly sync confirmed: 'Bobby asks pretty much every Monday, how are things going?' Morgan attends leadership meeting where Giving Tuesday vs. Black Friday/Cyber Monday strategy was decided — evidence of leadership meeting access beyond pod-lead scope. Manages Sendoso/Thanks gifting budget. Live Salesforce Maps: hot zone + referral layer + NPS threshold (≥8). Immediately proposes solution to a data quality issue.",NPS ≥ 8 required for referral map layer; leadership meeting attendance confirmed; weekly Bobby sync on record,High,Yes,Yes,Leadership meeting attendance in addition to pod lead role is important scope evidence. Systematic feedback routing Doc is strong ops design evidence. Pair with upward advocacy from TR-0787 and TR-0795.
"In the January 2023 pod meeting, Morgan coordinated a cross-functional training with AE Ansley on Salesforce lead/opportunity creation, co-authored pricing copy templates with peer pod lead Anna, and coached the inbound-outbound buddy system strategy.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-01-19_12_07_GMT-5.txt (TR-0792),"Morgan invites AE Ansley to present on SF lead/opportunity creation, then contextualizes content for SDRs after the guest leaves. Co-authors pricing copy templates with peer pod lead Anna. Sets discount guardrails: 10%/15%/20% tiers, >20% requires Bobby approval. Buddy system philosophy: 'I'm a big believer in the buddy system... every account we basically just latched on to an inbound rep and worked it together.' Advocates for better pricing visibility tools and commits to raising issues to Bobby by name.",Discount tiers: 10%/15%/20% (<20% = SDR-managed; >20% = Bobby approval); 300 yearbook sample offer; referral code = 2–10 free books,High,Yes,Yes,"Cross-functional training coordination, pricing guardrail coaching, and inbound-outbound strategy design are all program management scope evidence. Upward commitment to 'raise this to Bobby by name' shows accountability framing."
"In the February 2023 pod meeting, Morgan extended a vendor tutorial with her own live Salesforce Maps referral workflow demo and critically evaluated Outreach's AI sentiment-sorting feature for its known limitations.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-02-16_12_04_GMT-5.txt (TR-0793),"Morgan plays a vendor tutorial then extends it live with her own Salesforce Maps referral workflow demo. Sequence mechanics coaching: accurately explains opt-out and task logic. Critical tool evaluation: 'Outreach has that AI feature... but I don't think it's perfect' — independent platform critique. Philosophy: 'a very short, sweet, respectful message... can be refreshing. Sometimes we almost get a better response from stuff like that.' Celebrates a rep win in meeting.",Outreach AI sentiment sorting noted as imperfect; NPS ≥ 8 for referral map layer; two-week sequence spacing noted,High,Maybe,Yes,Critical evaluation of vendor tools is evidence of platform expertise beyond surface-level fluency. Use for advanced CRM/training claims and qualitative leadership tone.
"In the March 2023 pod meeting, Morgan taught her original variable personalization system with if/else conditional coding, the PTA council name-drop technique (tested and confirmed as response-rate driver), and the 'yes-and-yes' demo-scheduling psychology.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-03-23_12_03_GMT-4.txt (TR-0794),"Variable personalization: if/else conditional field system with two custom note fields (note 1 = bulk district, note 2 = individual) — 'umpteen times more efficient.' Independent competitive research: 'I probably found like 30 or so different professional associations.' PTA council name-drop: 'Once I was able to start saying that we were talking with the Georgia PTA council thing, I just started hearing back from a lot more people.' Yes-and-yes: 'it kind of gives them a choice between a yes and a yes.' SDR identity: 'I look at us as almost like marketing just as much as sales.'",~30 professional associations identified independently; PTA council technique confirmed as response-rate driver; conditional if/else variable coding demonstrated live,High,Yes,Yes,"PTA council technique and yes-and-yes are original, tested techniques belonging in the portfolio as methodology innovations. Variable personalization with conditional coding is advanced SDR technical work. Pair with TR-0788 for the full original-technique cluster."
"In the April 2023 pod meeting, Morgan reported the team was above goal ('We are crushing our goals'), confirmed a direct CEO/CTO product feedback loop, advocated for team conference attendance, and co-designed a new nurture sequence the org had 'never had before.'",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-04-20_12_04_GMT-4.txt (TR-0795),Performance: 'We are crushing our goals.' Executive feedback loop: 'They acted like we had meetings about the things that I asked about... everything started getting actively addressed' — Morgan had product feedback login for Bobby/Kevin. Conference advocacy: 'I'll vouch for any of them if Bobby's kind of on the fence.' Nurture sequence co-design: 'We've never had anything like that before... this would give people a whole new step.' Real-time troubleshooting when Thanks platform broke mid-meeting.,Team above target (April 2023); executive product feedback access to Bobby + Kevin (CEO/CTO level),High,Yes,Yes,Above-target performance confirmation on record. Executive product feedback loop access is important scope evidence beyond pod lead. Pair with nurture sequence input as product/content influence across team boundary.
"In the May 2023 pod meeting, Morgan organized and hosted a Big Four competitive intelligence training with Ed (Product Evangelist) on Jostens, Herff Jones, Balfour, and Walsworth — and asked the most sophisticated question in the session, which Ed explicitly validated.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-05-18_12_02_GMT-4.txt (TR-0796),Morgan organized and hosted the Big Four competitive training with Ed. Most technically sophisticated question: district-based design service quality + yearbook advisor experience (LifeTouch angle). Also challenged Ed independently: 'how do we shine when they already have the same bullet points?' — showing prior independent competitor feature research. Ed validation: 'That's a really interesting. I appreciate it.' Morgan was the most knowledgeable voice in the room besides Ed.,N/A — competitive intelligence training; Morgan identified as most knowledgeable participant besides product expert,High,Yes,Yes,Training program organization + deepest competitive knowledge in session is strong evidence of both program management and subject-matter expertise. Independent competitor research ('same bullet points') shows strategic depth beyond product scripts.
"In the June 2023 pod meeting, Morgan organized a LifeTouch-specific competitive session with Ed and contributed an original field-discovery pattern from her own territory: LifeTouch district-level contracts creating school-level lock-in.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-06-14_12_03_GMT-4.txt (TR-0797),"Morgan organized the second competitive training with Ed, focused on LifeTouch. Field pattern from her own territory: 'I run into it a lot where every elementary school will say, oh sorry, we work with Life Touch, we're just told this — and it almost seems to be more common than with the other publishers.' Ed validates and provides breakout strategy. Morgan coaches rep confidence when surfacing own insights. Closes efficiently within calendar time.",N/A — LifeTouch district contract pattern documented from personal territory experience and shared with team,High,Maybe,Yes,Field research contributing to org competitive intelligence is distinctive. Morgan's bottom-up pattern discovery from own territory feeding into team training shows research → knowledge transfer loop. Pair with TR-0796 for the full competitive intelligence series.
"In the July 2023 pod meeting, Morgan presented her proprietary first touch/reapproach ratio report ('I made it a long time ago'), a school start date calendar view she independently discovered in Salesforce, and Heritage Collection positioning language ahead of product launch.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-07-20_12_05_GMT-4.txt (TR-0798),"First touch/reapproach ratio report: 'I'm really proud, it's my report. I made it a long time ago' — built long before it became a formal metric against Bobby's 35% benchmark. School start date calendar: 'I just sort of discovered that when I was exploring Salesforce one day' — independent tool discovery shared with pod. Heritage Collection pre-launch positioning: proactively frames 'premium' vs. 'heritage' language before product launch. Nurture context: 'Jen and I have been recycling re-approaches for five, six, seven years... it's just like talking to a brick wall.'",35% first touch/reapproach ratio = Bobby's benchmark; school start dates visible by territory in calendar view; Heritage Collection framed pre-launch,High,Yes,Yes,Proprietary first-touch ratio report predates formal org metric — evidence of self-directed data analysis ahead of leadership priorities. Heritage Collection framing before launch shows product input beyond SDR scope. Pair with TR-0795 for the full nurture sequence context.
"In the August 2023 pod meeting, Morgan explicitly named on record that SDRs were excluded from the Salesforce people-accounts rollout, committed to ensuring leadership adjusted performance expectations for the disruption, and real-time-built a cross-pod bug/feedback doc for executive escalation.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-08-17_12_11_GMT-4.txt (TR-0799),"CRM crisis: Salesforce people-accounts rollout deployed mid-peak with no SDR input or notice. Morgan names failure on record: 'We didn't get any SDR perspective... it was really kind of downplayed.' Upward commitment: 'My supervisors are going to have to understand that this is why... I will be sure to remind them of that.' Compiles cross-pod bug/feedback Google Doc for executive escalation — a cross-team action, not just Morgan's pod. Real-time screen-sharing triage with reps. Emotional grounding: 'Just know that you guys aren't alone. Make it till you make it.'",N/A — CRM crisis; SDR exclusion named on record; cross-pod escalation doc built; performance expectations adjustment committed,High,Yes,Yes,CRITICAL crisis leadership evidence. Naming failure on record + committing to leadership accountability + cross-pod escalation + emotional stabilization = full-spectrum crisis management. Pair with TR-0787 and TR-0784 for the complete management evidence cluster.
"In the November 2023 pod meeting, Morgan built Salesforce reports to catch SDR credit leakage from inbound wins, personally absorbed the attribution risk to protect her team, and shared her original written gatekeeper response guide compiled from real objections.",Verified — primary source audio transcript,MPP_Pod_Meeting_2023-11-16_12_40_GMT-5.txt (TR-0800),Credit protection: custom Salesforce reports to catch SDR credit attribution from inbound wins. Personal risk absorption: 'I just want it to show in the history that I added the campaign name so that... they'll come ask me and bother me about it. Not you.' Original gatekeeper guide: 'I was feeling super extra one day and I really just sat down and wrote out all of the responses that I was getting' — compiled from real objections in the field. Co-authored master call script with Kaylin. Cold-calling historical context: 'between maybe 10 and 20 meetings a month' at prior IST role.,10–20 meetings/month at IST (cold-calling benchmark); gatekeeper response guide compiled from real field objections,High,Yes,Yes,Credit protection with personal risk absorption is a distinctive team-advocacy behavior. Original gatekeeper guide from real-response compilation is an authored training asset. IST cold-calling volume provides pre-TreeRing performance context.
"In the January 2024 pod meeting, Morgan recognized three-year anniversaries for four direct reports, independently discovered and taught a new Salesforce Chrome extension (Sales Cloud Everywhere, Dec 2023 release), and observed the RFP/district infrastructure she helped architect now running independently through her team.",Verified — primary source audio transcript,MPP_Pod_Meeting_2024-01-25_12_35_GMT-5.txt (TR-0801),"Opens with 3-year anniversary recognition for Jamie, Erin, Tevis, and Julie — soliciting their wisdom for new hire onboarding. Independently discovered Salesforce Chrome extension 'Sales Cloud Everywhere' (Dec 2023 release) and taught it live. Hot zone county analysis: 'I actually ran that report recently and did it by county instead of district and found one or two where oh we actually have 20 customers here.' District/RFP infrastructure she helped architect now running independently through Tevez — full-circle program continuity. Callbacks to variable personalization system from March 2023.",2+ customers = hot zone threshold; county clusters of up to 20 customers found; Salesforce extension Dec 2023 release identified independently,High,Yes,Yes,RFP/district infrastructure running independently through Tevis is sustained program-development evidence across 3+ years. Three-year anniversary recognition shows team tenure and relationship depth. Pair with TR-0784 and the full pod meeting series for the complete leadership arc.
Morgan authored a complete 10-step A/B sequence targeting Title 1 advisors — audience-specific copy with fundraising claims and objection-handling steps,Verified — CT Reviewed,Title 1 Advisor - Draft Complete.docx (TR-0151),"Full 10-step A/B sequence: intro A/B variants, bump, phone step, best time + fundraising ($700K/$4M), hidden costs PDF, custom pages/trees, non-contract PDF, value prop, sample book, generic task",10 steps + A/B variants; $700K/$4M fundraising metrics embedded in copy,High,Yes,Yes,Pair with TR-0133 (Title 1 Principals email) for full Title 1 portfolio section; see EG row 66
Morgan authored a signed Title 1 CA principal email with geographic personalization and accessibility/mission framing,Verified — CT Reviewed,Title 1 - Principals.docx (TR-0133),"My name is Morgan'; San Mateo/CA personalization; mission framing around affordability, first-time yearbooks, and restart programs; Morgan's personal name signature",None specific — qualitative audience-specific principal messaging for Title 1 schools,High,Yes,Yes,Pair with TR-0151 (Title 1 Advisor 10-step sequence); see EG row 66
"Morgan's Jan 2023 CultureAmp self-assessment submitted to Bobby — first-person documentation of management growth, quarterly goals, challenges, and career ambitions",Verified — CT Reviewed,Self Reflection Jan 2023.docx (TR-0461),"Q1: 'management voice' becoming second nature; Salesforce mastery 'my favorite part of the job.' Q2 challenge: too many ideas, introvert managing a people-heavy role. Q4: stay on SDR bike, backend systems, pod communication. Expressed interest in Operations under Melanie",N/A — qualitative; submitted directly to manager Bobby,High,No,Yes,Use for interview prep (authentic management voice); pairs with TR-0787 + TR-0784 manager confirmation evidence; see EG row 67
"Morgan authored a complete 8-step SDR methodology playbook for new hire training — her full targeting philosophy, personalization system, and personal brand voice",Verified — CT Reviewed,"Sales Dev Process 2020, Morgan.docx (TR-0607)","8 steps: account assignment → data prep → identify $2,500+ schools → research → create contacts → email principal first → identify advisor → reach out with sequences. 'Customer service for people who just don't happen to be customers yet.' Custom unsubscribe. UTM tracking (utm_campaign=morganescott)",8 documented steps; targeting priority: HZ → Private → Green → Title 1 → Generic; personal UTM attribution,Medium,Yes,Yes,Pair with TR-0663 (2016 marketing plan) to show consistent 4-year methodology; see EG row 68
Morgan's 2016 school-year marketing plan documents a multi-touch relationship-first sales philosophy strikingly consistent with her 2020 SDR methodology — confirming it was her original thinking from year one,Verified — CT Reviewed,2016 School Year - Marketing Plan - Rough Draft.docx (TR-0663),"9-touch sequence from year 1: research, email ('heartfelt, personalized'), phone ('paper messages are better than VM'), snail mail ('handwritten note by yours truly'), social media DM, holiday card (handwritten), March plantable paper, May close. 'Well, you survived the year. Congratulations!'",9-touch sequence documented in year 1 of career,Medium,Yes,Yes,Pair with TR-0607 (2020 SDR methodology) for 4-year career-arc narrative; see EG row 68
Morgan's PTA Council outreach achieved 74% open / 22% reply / zero opt-outs; she created a training deck documenting results — leading to Bobby co-presenting at Area Councils she originated,Verified — CT Reviewed,PTA Councils.pptx (TR-0670),"74% open / 7.4% click / 22% reply / 0 opt-outs; in one month: GA referral to State PTA, Bobby co-presented at 2 Area Councils, CA 9th PTA District (300+ schools); 'Literally no one has replied unfavorably'",74% open rate / 22% reply rate / 0 opt-outs; 300+ CA schools in one initiative; executive co-presentation buy-in,High,Yes,Yes,Complements existing PTA Council EG themes; adds quantified results + training deck evidence; see EG row 69
"Morgan and Jen formally proposed to TreeRing leadership that the Content Committee — not marketing hires — should own outbound sequence writing, asserting 10 combined years of expertise and retaining CC authority",Verified — CT Reviewed,Content Committee.pptx — CC Proposal to Leadership (TR-0671),"May 10 2021; 'Jen and I alone have 10 years of experience doing this'; 'We are the OG's :)'; 'We'll get much better outbound sequence results if the people writing them are actually in Outbound'; Bobby: 'No matter what I've brought to you, you've always listened without judgement'",10 combined years expertise cited; CC retained sequence ownership through Morgan's departure,High,Yes,Yes,Pairs with TR-0783 (CC founding transcript) and existing CC EG themes; see EG row 70
Morgan presented her SDR methodology to the full TreeRing team on July 19 2022 company training day — her session was explicitly named 'Morgan's Take on SDR role'; Process Map website was on the official agenda,Verified — CT Reviewed,Content Team 06.01.22.pptx (TR-0126),July 19 2022 full-team training day; 'Morgan's Take on SDR role' named as her session; Process Map Wiki site featured on agenda; AT&T model; 5-to-25+ SDR scaling framework; consultative selling approach,None specific — qualitative; company-wide scope (not pod-only) confirmed,High,Yes,Yes,Extends training evidence beyond pod to full company; pairs with DF-0075 (SDR Training deck) and escottmorgan.wixsite.com/processmap
Morgan built a 1MB nationwide Hot Zone analysis comparing 2024 company HZ data against her personal district history — extraordinary analytical scope for an individual SDR,Verified — CT Reviewed (DF-0138),Nationwide Hot Zones 2024 vs. My Districts.xlsx (TR-0231),All 50 states + Canada; customer satisfaction scores; comparison of company-wide HZ map vs. Morgan's personal territory districts; analytical scope far exceeds typical SDR role,1MB data file; all 50 states + Canada; national scope,Medium,Yes,Yes,Pairs with ALL HZ Schools-2021.xlsx (TR-0104) and HZ Follow Ups by District.xlsx; see DF-0138 for full context
"Outreach screenshot (Apr 2021) confirms live sequence performance across 6+ audience segments at scale — MS/HS Teacher 83%/32% reply (804 contacted), MS/HS Principal 77%/14% (1,901 contacted)",Verified — CT Reviewed,File-Screen Shot 2021-04-28 at 4.21.20 PM.png (TR-0643),"Apr 28 2021 Outreach sequences view: MS/HS Teacher 83% open/32% reply (804 contacted); Support Staff 83%/38% (751); MS/HS Principal 77%/14% (1,901 contacted); ES PTA 63–66%/16–21%; ES Principal 74%/15% (1,224); ES Private Re-Approach 81%/23% (47)","83% open / 32% reply on Teacher (804 contacted); 77% open / 14% reply on 1,901 Principal prospects",High,Yes,Yes,Pairs with TR-0645 (Feb 2021 metrics); see EG row 72
Outreach screenshot (Feb 2021) — District 1st Touch 83%/62% reply (287 contacted); Trial Account Request 88%/57% reply (407 contacted) — strongest reply rates in archive,Verified — CT Reviewed,File-Screen Shot 2021-02-09 at 2.35.53 PM.png (TR-0645),"Feb 9 2021 Outreach sequences view: District 1st Touch Spring 83%/62% reply (287 contacted); Trial Account Request 88%/57% reply (407 contacted); ES Principal Re-Approach 52%/2.4% (1,867 contacted); Sample Sent No Demo 47% open (55 contacted)",District 1st Touch: 83% open / 62% reply (287 prospects); Trial Account Request: 88% open / 57% reply (407 prospects),High,Yes,Yes,Pairs with TR-0643 (Apr 2021 metrics); see EG row 72; note these are the two strongest reply-rate metrics in the full archive
"Official 21-22 team honors screenshot confirms 77% lead conversion, 82% opportunity conversion, 480,000 SDR emails, and 74,000 SD activities — the year Morgan served as pod lead",Verified — CT Reviewed,File-Screen Shot 2022-06-28 at 12.49.59 PM.png (TR-0650),"21-22 Wins for the year' team scorecard: 77% Lead Conversion Rate; 82% Opportunity Conversion Rate; 74,000 Activities for SDs; 16,000 Calls + 480,000 Emails for SDRs; Morgan was pod lead this year","77% lead conversion / 82% opp conversion; 480,000 emails; 74,000 activities; 16,000 calls",High,Yes,Yes,Morgan was pod lead in 21-22; these team results are partly attributable to her leadership; corroborates existing VC metrics; note team-level (not Morgan-only) metric
Morgan's personal In Contract sequence — embedded grow.treering.com/calendar/user/morgan/ links confirm authorship; 'My personal favorite is: recognition ads!' confirms voice ownership; A/B test note on Step 8,Verified — CT Reviewed,Done - In Contract + Companion (TR-0693),"12-step date-based sequence (March–June); Step 1: 'my name is Morgan'; Steps 6/8: recognition ads + 'My personal favorite'; A/B test note: 'plain email vs. one with a button or graphic?'; Morgan calendar URLs: /t/4 Phone, /t/2 30-min demo, /t/3 60-min demo; Summer close: 'You guys are our heroes :).'",grow.treering.com/calendar/user/morgan/ = definitive authorship proof; 12 steps,Medium,Yes,Yes,Pairs with TR-0694 + TR-0695 (Year 2 sequences); see EG row 73
"Morgan's Advisor Year 2 sequence — A/B tested testimonials with named schools (Williston HS sold out, East Columbus HS), PUR binding technical email, and personal calendar links across 9 manual steps",Verified — CT Reviewed,Advisor Year 2 - Done (TR-0694),"Step 3 A/B TEST: Version A (Williston HS: sold out yearbooks, 432 sold, 'turned around our dying program'); Version B (East Columbus HS: 'Finding TreeRing was the best thing to ever happen to our school'); Step 7: PUR binding specs ('Superior flexibility... -40 to +200F'); Step 9 placeholder: 'NEW FEATURE LIST HERE HOPEFULLY INCLUDING ADS OMG'",A/B tested testimonials with real named schools; 9 manual steps; PUR binding technical copy,Medium,Yes,Yes,Pairs with TR-0693 + TR-0695; see EG row 73
Morgan's Principal Year 2 sequence — ultra-personalized school event step requires custom website research; note 'Kristina added call step here!!!!' confirms iterative cross-functional authorship,Verified — CT Reviewed,Principal Year 2 - Done (TR-0695),"Step 6: 'THIS WILL REQUIRE GOING TO THE SCHOOL WEBSITE AND DOING SOME CUSTOMIZATION. TAKES MORE TIME BUT WILL BE WORTH IT'; subject: 'Is the {{Fun Fair, or some kind of year-end event}} going to be in the yearbook?'; Step 3: reviving yearbook programs framing; note: 'Kristina added call step here!!!!' shows collaborative authorship history",School event personalization step requiring per-prospect website research; 9 manual steps; cross-functional editing confirmed,Medium,Yes,Yes,Kristina's call-step edit confirms Morgan's sequences were the recognized base layer; pairs with TR-0693 + TR-0694; see EG row 73
"Morgan documented her personal Handlebars formula library for the full SDR team — 7+ nested conditional formulas for personalization, day-of-week greetings, and nickname/account logic; confirms she invented the variable system",Verified — CT Reviewed,Formulas I used :) (TR-0717),"Formulas: (1) nickname vs. account name conditional; (2) 'The' + yearbook name triple-nested; (3) parent org variable; (4) day-of-week greetings Mon–Fri; (5) nickname + parent org combo; (6) complex yearbook name subject line; (7) salutation + title/last name logic. All Handlebars syntax, shared with team",7+ formula variants; used across all SDR sequences; documented proactively for team distribution,Medium,Yes,Yes,See EG row 71 (Personalization at Scale — Handlebars Formula Library); pairs with TR-0794 pod meeting teaching variable personalization live
"Morgan's personal thought-leadership brainstorm — Flipboard boards for 4 SDR personas, recommended reading (Voss, Konrath), TreeRing Book Club proposal, YouTube/podcast curation; evidence of self-directed professional development",Verified — CT Reviewed,Thought Leader Brainstorm.docx (TR-0173),"Personal Flipboard boards (@morganescott) for 4 customer personas; recommended reading (Never Split the Difference, Snap Selling); TreeRing Book Club proposal; sales YouTube/podcast list; self-directed team knowledge initiative",N/A — qualitative; 4-persona reading program documented,High,No,Yes,Supports self-directed development narrative; pairs with TR-0461 (management self-assessment) and TR-0788 (SDR identity framing)
"Morgan documented a detailed Salesforce Classic vs. Lightning comparison with specific UX improvement requests — account page redesign, CongaGrid inline editing, Parent Accounts for Hot Zones; CRM platform depth beyond user level",Verified — CT Reviewed,Lightning Brainstorm Version1.docx (TR-0174),Morgan-primary Classic vs. Lightning comparison; account page/contact page redesign requests; ListBrowse for 400+ CA account navigation; CongaGrid inline editing proposal; Parent Accounts for HZ grouping; 'I mostly live on the account page (Morgan)',N/A — qualitative; 400+ CA accounts cited; platform transition planning scope,High,No,Yes,Supports CRM/Salesforce depth claims; pairs with TR-0786 (Morgan building reports ahead of company roadmap) and TR-0790 (live Salesforce training in pod meeting)
"Morgan's early-career SDR improvement document submitted to supervisor Leo — direct mail strategy, social media plan, Marketo critique, meeting reform, opportunity equity proposal; shows strategic thinking from first years",Verified — CT Reviewed,Sales Dev Brainstorm!.docx (TR-0184),"Under supervisor Leo (early career); direct mail strategy, social media approach, Marketo implementation critique, meeting reform with Leo critique included, opportunity equity proposal, marketing wish list, June–October SDR outreach timeline",N/A — qualitative; early-career strategic proposal submitted to management,High,No,Yes,Complements TR-0663 (2016 marketing plan) and TR-0607 (2020 SDR playbook) in early-career strategic arc; upward advocacy present from year 1
Morgan authored a second sequence training module for the SDR team — additional training content beyond the primary new-hire guide,Verified — CT Reviewed,Sequence Training 2.docx (TR-0202),Second training module supplementing primary training materials; evidence of ongoing training content creation beyond initial onboarding guide,N/A — no metrics available in snapshot,Medium,No,Yes,"Pairs with SEQUENCE TRAINING FOR NEW HIRES.docx (TR-0007), Training deck (TR-0111), and company-wide training (TR-0126); DF context if needed"
Morgan's Pod Goals 21-22 spreadsheet — pod performance dashboard with individual rep metrics and a THNKS gifting tab documenting each rep's gift preferences; systematic people management and team-care operations,Verified — CT Reviewed (DF-0132),MPP_ Pod Goals 21-22.xlsx (TR-0224),"Pod performance dashboard for 21-22 season; THNKS gifting tab: Julie (GrubHub $18), Jamie (Chick-fil-A $18), Tevis (Starbucks $17.91); systematic people management infrastructure including individual care tracking",N/A — qualitative; documents pod management cadence and individual rep care,High,No,Yes,Pairs with TR-0787 + TR-0784 (manager confirmation) and TR-0461 (self-assessment); see DF-0132 for full content
"Morgan's territory transfer document to Anna (April 17 2023) — full VA/WV offboarding with hundreds of schools, Salesforce IDs, HZ/Title 1 flags, and active pipeline notes; organized, documented handoff process",Verified — CT Reviewed (DF-0134),Transfer to Anna 04-17-23.xlsx (TR-0226),"Complete territory transfer: hundreds of VA/WV schools with Salesforce IDs, Hot Zone flags, Title 1 flags, active pipeline status, and transition notes; fully documented departure handoff to colleague Anna",N/A — territory size: hundreds of schools across VA/WV; organized handoff doc,High,No,Yes,Evidence of institutional responsibility and organized handoff at departure; pairs with ALL HZ Schools-2021.xlsx territory management docs; see DF-0134 for full content
